city_slug,city_name,days_from_cutoff,n_obs,mean_price_usd,mean_log_price,availability_rate
austin,Austin,85,15418,380.57841483979763,5.246805646464622,0.35834738617200673
austin,Austin,86,15418,380.63685302892725,5.246829778237969,0.3575690751070178
austin,Austin,87,15418,380.63685302892725,5.246829778237969,0.356985341808276
austin,Austin,88,15418,380.63685302892725,5.246829778237969,0.3539369568037359
austin,Austin,89,15418,380.63685302892725,5.246829778237969,0.3545855493578934
austin,Austin,90,15418,380.63685302892725,5.246829778237969,0.3600985860682319
austin,Austin,91,15418,380.4953949928655,5.246753780643283,0.35906083798157995
boston,Boston,-92,4426,249.61138725711703,5.164466631439678,0.6513782196113873
boston,Boston,-91,4426,249.61138725711703,5.164466631439678,0.6527338454586534
boston,Boston,-90,4426,249.61138725711703,5.164466631439678,0.6538635336647085
boston,Boston,-89,4426,249.61138725711703,5.164466631439678,0.648892905558066
boston,Boston,-88,4426,249.61138725711703,5.164466631439678,0.6414369633981021
boston,Boston,-87,4426,249.61138725711703,5.164466631439678,0.6342069588793493
boston,Boston,-86,4426,249.61138725711703,5.164466631439678,0.6348847718029824
boston,Boston,-85,4426,249.61138725711703,5.164466631439678,0.648892905558066
boston,Boston,-84,4426,249.61138725711703,5.164466631439678,0.6500225937641211
boston,Boston,-83,4426,249.61138725711703,5.164466631439678,0.6459557162223226
boston,Boston,-82,4426,249.61138725711703,5.164466631439678,0.6443741527338455
boston,Boston,-81,4426,249.61138725711703,5.164466631439678,0.6353366470854044
boston,Boston,-80,4426,249.61138725711703,5.164466631439678,0.622458201536376
boston,Boston,-79,4426,249.61138725711703,5.164466631439678,0.6217803886127429
boston,Boston,-78,4426,249.61138725711703,5.164466631439678,0.631043831902395
boston,Boston,-77,4426,249.61138725711703,5.164466631439678,0.6348847718029824
boston,Boston,-76,4426,249.61138725711703,5.164466631439678,0.6396294622684139
boston,Boston,-75,4426,249.61138725711703,5.164466631439678,0.640307275192047
boston,Boston,-74,4426,249.61138725711703,5.164466631439678,0.6412110257568912
boston,Boston,-73,4426,249.61138725711703,5.164466631439678,0.6464075915047447
boston,Boston,-72,4426,249.61138725711703,5.164466631439678,0.6511522819701763
boston,Boston,-71,4426,249.61138725711703,5.164466631439678,0.657478535924085
boston,Boston,-70,4426,249.61138725711703,5.164466631439678,0.6629010393131496
boston,Boston,-69,4426,249.61138725711703,5.164466631439678,0.6649344780840488
boston,Boston,-68,4426,249.61138725711703,5.164466631439678,0.6626751016719385
boston,Boston,-67,4426,249.61138725711703,5.164466631439678,0.6586082241301401
boston,Boston,-66,4426,249.61138725711703,5.164466631439678,0.6522819701762314
boston,Boston,-65,4426,249.61138725711703,5.164466631439678,0.6534116583822865
boston,Boston,-64,4426,249.61138725711703,5.164466631439678,0.6592860370537732
boston,Boston,-63,4426,249.61138725711703,5.164466631439678,0.6662901039313149
boston,Boston,-62,4426,249.61138725711703,5.164466631439678,0.6694532309082694
boston,Boston,-61,4426,249.61138725711703,5.164466631439678,0.6690013556258473
boston,Boston,-60,4426,249.61138725711703,5.164466631439678,0.6624491640307275
boston,Boston,-59,4426,249.61138725711703,5.164466631439678,0.6610935381834614
boston,Boston,-58,4426,249.61138725711703,5.164466631439678,0.6601897876186172
boston,Boston,-57,4426,249.61138725711703,5.164466631439678,0.6658382286488929
